"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"16101","Gafisa","1","1 - Ativo Total","4T20",3749999
"16101","Gafisa","1.01","1.01 - Ativo Circulante","4T20",2542887
"16101","Gafisa","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",29038
"16101","Gafisa","1.01.02","1.01.02 - Aplicações Financeiras","4T20",593082
"16101","Gafisa","1.01.03","1.01.03 - Contas a Receber","4T20",487083
"16101","Gafisa","1.01.04","1.01.04 - Estoques","4T20",1243841
"16101","Gafisa","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",189843
"16101","Gafisa","1.02","1.02 - Ativo Não Circulante","4T20",1207112
"16101","Gafisa","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",750870
"16101","Gafisa","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"16101","Gafisa","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",217169
"16101","Gafisa","1.02.01.05","1.02.01.03 - Estoques","4T20",305460
"16101","Gafisa","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",228241
"16101","Gafisa","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"16101","Gafisa","1.02.02","1.02.02 - Investimentos","4T20",426531
"16101","Gafisa","1.02.03","1.02.03 - Imobilizado","4T20",25181
"16101","Gafisa","1.02.04","1.02.04 - Intangível","4T20",4530
"20478","PDG Realty","1","1 - Ativo Total","4T20",1730597
"20478","PDG Realty","1.01","1.01 - Ativo Circulante","4T20",1366354
"20478","PDG Realty","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",109288
"20478","PDG Realty","1.01.02","1.01.02 - Aplicações Financeiras","4T20",12663
"20478","PDG Realty","1.01.03","1.01.03 - Contas a Receber","4T20",226287
"20478","PDG Realty","1.01.04","1.01.04 - Estoques","4T20",1006239
"20478","PDG Realty","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",11877
"20478","PDG Realty","1.02","1.02 - Ativo Não Circulante","4T20",364243
"20478","PDG Realty","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",332813
"20478","PDG Realty","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"20478","PDG Realty","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",59707
"20478","PDG Realty","1.02.01.05","1.02.01.03 - Estoques","4T20",153599
"20478","PDG Realty","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",119507
"20478","PDG Realty","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"20478","PDG Realty","1.02.02","1.02.02 - Investimentos","4T20",29906
"20478","PDG Realty","1.02.03","1.02.03 - Imobilizado","4T20",994
"20478","PDG Realty","1.02.04","1.02.04 - Intangível","4T20",530
"20630","CR2","1","1 - Ativo Total","4T20",121069
"20630","CR2","1.01","1.01 - Ativo Circulante","4T20",26463
"20630","CR2","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",95
"20630","CR2","1.01.02","1.01.02 - Aplicações Financeiras","4T20",17389
"20630","CR2","1.01.03","1.01.03 - Contas a Receber","4T20",5007
"20630","CR2","1.01.04","1.01.04 - Estoques","4T20",1655
"20630","CR2","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",2317
"20630","CR2","1.02","1.02 - Ativo Não Circulante","4T20",94606
"20630","CR2","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",92966
"20630","CR2","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"20630","CR2","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",1381
"20630","CR2","1.02.01.05","1.02.01.03 - Estoques","4T20",86839
"20630","CR2","1.02.01.06","1.02.01.05 - Outros Ativos Não Circulantes","4T20",4746
"20630","CR2","1.02.01.09","1.02.01.04 - Créditos com Partes Relacionadas","4T20",0
"20630","CR2","1.02.02","1.02.02 - Investimentos","4T20",1620
"20630","CR2","1.02.03","1.02.03 - Imobilizado","4T20",20
"20630","CR2","1.02.04","1.02.04 - Intangível","4T20",0
"24902","Mitre","1","1 - Ativo Total","4T20",1321191
"24902","Mitre","1.01","1.01 - Ativo Circulante","4T20",1083022
"24902","Mitre","1.01.01","1.01.01 - Caixa e Equivalentes de Caixa","4T20",223197
"24902","Mitre","1.01.02","1.01.02 - Aplicações Financeiras","4T20",543181
"24902","Mitre","1.01.03","1.01.03 - Contas a Receber","4T20",150642
"24902","Mitre","1.01.04","1.01.04 - Estoques","4T20",152529
"24902","Mitre","1.01.05","1.01.05 - Outros Ativos Circulantes","4T20",13473
"24902","Mitre","1.02","1.02 - Ativo Não Circulante","4T20",238169
"24902","Mitre","1.02.01","1.02.01 - Ativo Realizável a Longo Prazo","4T20",220907
"24902","Mitre","1.02.01.01","1.02.01.01 - Aplicações Financeiras","4T20",0
"24902","Mitre","1.02.01.04","1.02.01.02 - Contas a Receber","4T20",153459
