"CD_CVM","EMPRESA","CD_CONTA","CONTA","PERIODO","VL_CONTA"
"16101","Gafisa","3.01","3.01 - Receita de Venda de Bens e/ou Serviços","2020",884045
"16101","Gafisa","3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","2020",-702824
"16101","Gafisa","3.03","3.03 - Resultado Bruto","2020",181221
"16101","Gafisa","3.04","3.04 - Despesas/Receitas Operacionais","2020",-177618
"16101","Gafisa","3.04.01","3.04.01 - Despesas com Vendas","2020",-28992
"16101","Gafisa","3.04.02","3.04.02 - Despesas Gerais e Administrativas","2020",-81553
"16101","Gafisa","3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","2020",0
"16101","Gafisa","3.04.04","3.04.04 - Outras Receitas Operacionais","2020",0
"16101","Gafisa","3.04.05","3.04.05 - Outras Despesas Operacionais","2020",-64733
"16101","Gafisa","3.04.06","3.04.06 - Resultado de Equivalência Patrimonial","2020",-2340
"16101","Gafisa","3.05","3.05 - Resultado Antes do Resultado Financeiro e dos Tributos","2020",3603
"16101","Gafisa","3.06","3.06 - Resultado Financeiro","2020",-72995
"16101","Gafisa","3.06.01","3.06.01 - Receitas Financeiras","2020",28537
"16101","Gafisa","3.06.02","3.06.02 - Despesas Financeiras","2020",-101532
"16101","Gafisa","3.07","3.07 - Resultado Antes dos Tributos sobre o Lucro","2020",-69392
"16101","Gafisa","3.08","3.08 - Imposto de Renda e Contribuição Social sobre o Lucro","2020",-7608
"16101","Gafisa","3.09","3.09 - Resultado Líquido das Operações Continuadas","2020",-77000
"16101","Gafisa","3.10","3.10 - Resultado Líquido de Operações Descontinuadas","2020",0
"16101","Gafisa","3.11","3.11 - Lucro/Prejuízo Consolidado do Período","2020",-77000
"16101","Gafisa","3.11.01","3.11.01 - Atribuído a Sócios da Empresa Controladora","2020",-76521
"16101","Gafisa","3.11.02","3.11.02 - Atribuído a Sócios Não Controladores","2020",-479
"20478","PDG Realty","3.01","3.01 - Receita de Venda de Bens e/ou Serviços","2020",208194
"20478","PDG Realty","3.02","3.02 - Custo dos Bens e/ou Serviços Vendidos","2020",-136777
"20478","PDG Realty","3.03","3.03 - Resultado Bruto","2020",71417
"20478","PDG Realty","3.04","3.04 - Despesas/Receitas Operacionais","2020",-348178
"20478","PDG Realty","3.04.01","3.04.01 - Despesas com Vendas","2020",-24208
"20478","PDG Realty","3.04.02","3.04.02 - Despesas Gerais e Administrativas","2020",-64552
"20478","PDG Realty","3.04.03","3.04.03 - Perdas pela Não Recuperabilidade de Ativos","2020",0
"20478","PDG Realty","3.04.04","3.04.04 - Outras Receitas Operacionais","2020",0
